date,txn_count,txn_total_value_aed,txn_avg_price_per_sqft,rental_count,rental_avg_annual_rent_aed
2024-09-06,19,70086993.0,1344.3526315789475,54,190198.12962962964
2024-09-07,29,122476677.0,1304.286206896552,58,204031.89655172414
2024-09-08,46,193601611.0,1376.8717391304347,129,181424.32558139536
2024-09-09,51,142500912.0,1426.2627450980392,128,171680.90625
2024-09-10,48,321731399.0,1546.375,115,195911.72173913044
2024-09-11,46,183966310.0,1507.4891304347825,116,207163.18103448275
2024-09-12,59,253937218.0,1491.5372881355931,124,188112.13709677418
2024-09-13,18,91448431.0,1492.7388888888888,38,197436.31578947368
2024-09-14,21,64266607.0,1333.8666666666668,43,192173.02325581395
2024-09-15,53,225176642.0,1444.3943396226414,117,192829.7606837607
2024-09-16,37,187478641.0,1472.1054054054055,121,215560.23966942148
2024-09-17,60,216685443.0,1486.0483333333332,124,207124.84677419355
2024-09-18,47,188960556.0,1742.8936170212767,116,162028.4396551724
2024-09-19,44,163715167.0,1471.9045454545455,128,201348.71875
2024-09-20,13,43473018.0,1175.7076923076922,47,212011.6595744681
2024-09-21,17,65364696.0,1556.1647058823528,49,210520.24489795917
2024-09-22,48,165742888.0,1448.0041666666666,128,185959.125
2024-09-23,56,231436248.0,1418.3,125,191211.64
2024-09-24,47,154893054.0,1216.6914893617022,168,206783.25
2024-09-25,49,183098181.0,1586.712244897959,115,196488.41739130433
2024-09-26,44,177430450.0,1468.1454545454546,124,178948.53225806452
2024-09-27,22,82481499.0,1374.1272727272726,34,184173.4705882353
2024-09-28,22,120461166.0,1587.6045454545456,69,162814.72463768115
2024-09-29,41,186557009.0,1834.7926829268292,117,171137.90598290597
2024-09-30,57,235411991.0,1452.9894736842105,114,201402.69298245615
2024-10-01,45,197329368.0,1493.6599999999999,134,194678.8656716418
2024-10-02,58,183487835.0,1482.951724137931,128,196971.640625
2024-10-03,41,232283816.0,1745.158536585366,144,204969.67361111112
2024-10-04,21,101476379.0,1266.3238095238096,39,208185.4358974359
2024-10-05,27,114884301.0,1507.3629629629631,64,183782.5625
2024-10-06,58,259470212.0,1432.2362068965517,132,206946.60606060605
2024-10-07,47,246801995.0,1567.1212765957446,146,189373.19178082192
2024-10-08,56,272626838.0,1505.5035714285714,145,186899.2551724138
2024-10-09,48,206335548.0,1530.5625,122,198915.131147541
2024-10-10,54,256281222.0,1455.9388888888889,130,189131.61538461538
2024-10-11,16,62550669.0,1478.50625,47,191049.29787234042
2024-10-12,24,119648847.0,1524.8416666666665,58,171561.0344827586
2024-10-13,59,260380534.0,1457.5711864406778,132,211607.34848484848
2024-10-14,46,144976872.0,1236.8086956521738,138,195431.27536231885
2024-10-15,51,197229917.0,1324.6000000000001,147,168074.61904761905
2024-10-16,54,221095192.0,1433.0462962962963,148,188877.2162162162
2024-10-17,59,249033569.0,1592.964406779661,134,178084.3432835821
2024-10-18,21,67751378.0,1440.3,42,238270.97619047618
2024-10-19,24,70350971.0,1470.3,63,159137.17460317462
2024-10-20,54,216294089.0,1585.5074074074073,155,158587.6
2024-10-21,64,287128479.0,1507.0015624999999,142,187410.5915492958
2024-10-22,52,224239327.0,1478.0500000000002,148,197162.5
2024-10-23,72,378122051.0,1633.947222222222,152,186681.09868421053
2024-10-24,69,262477513.0,1452.9202898550725,142,190109.21830985916
2024-10-25,29,128867077.0,1453.5620689655173,56,188844.94642857142
2024-10-26,24,112696824.0,1439.0166666666667,73,159478.67123287672
2024-10-27,67,410359599.0,1704.4179104477612,154,193946.01298701297
2024-10-28,63,294269630.0,1452.8206349206348,172,199110.12209302327
2024-10-29,44,202019924.0,1578.1477272727273,139,185896.74820143884
2024-10-30,51,235693647.0,1568.0,157,184304.1082802548
2024-10-31,56,248703344.0,1507.2749999999999,152,184844.78289473685
2024-11-01,18,71738095.0,1700.1833333333334,53,191945.35849056602
2024-11-02,20,80080982.0,1402.92,74,225197.55405405405
2024-11-03,60,217127728.0,1528.3316666666665,147,204618.50340136053
2024-11-04,60,239137787.0,1511.6216666666667,162,204253.46913580247
2024-11-05,66,273670035.0,1317.840909090909,156,191001.2564102564
2024-11-06,68,275763757.0,1538.0470588235294,160,166612.38125
2024-11-07,70,324055900.0,1494.3657142857144,161,224032.06832298136
2024-11-08,17,101155953.0,1251.7176470588233,58,183868.1724137931
2024-11-09,29,174748352.0,1408.3586206896553,78,204874.73076923078
2024-11-10,63,253603741.0,1541.052380952381,159,197624.83018867925
2024-11-11,54,264536253.0,1550.6,172,188249.12209302327
2024-11-12,62,251804300.0,1515.4596774193549,162,176226.3086419753
2024-11-13,56,247612367.0,1532.5089285714287,152,183956.61842105264
2024-11-14,60,215829631.0,1419.45,170,185445.2705882353
2024-11-15,29,121229834.0,1460.7620689655173,53,179008.09433962265
2024-11-16,32,130717326.0,1422.34375,68,208738.1911764706
2024-11-17,73,396962014.0,1686.441095890411,160,213024.96875
2024-11-18,56,223575964.0,1446.5589285714286,180,194916.52777777778
2024-11-19,64,288199544.0,1441.8671875,176,179547.82954545456
2024-11-20,65,281361048.0,1495.7646153846154,128,179836.640625
2024-11-21,60,230294725.0,1531.8133333333333,202,167300.88613861386
2024-11-22,22,126991860.0,1834.1136363636363,65,184759.2
2024-11-23,27,68366671.0,1271.2259259259258,70,170921.22857142857
2024-11-24,91,334173234.0,1450.7120879120878,183,192973.42076502732
2024-11-25,65,262905171.0,1412.5015384615385,177,183415.79096045197
2024-11-26,62,245238686.0,1445.4499999999998,175,189588.74857142856
2024-11-27,70,235032847.0,1459.89,178,187867.56741573033
2024-11-28,57,219055370.0,1321.819298245614,170,182499.87647058823
2024-11-29,23,67971044.0,1583.8826086956524,69,196434.884057971
2024-11-30,33,123556116.0,1506.0424242424242,75,181715.76
2024-12-01,67,275411131.0,1385.8119402985074,168,212314.25
2024-12-02,62,304652553.0,1463.0193548387097,165,207455.07272727272
2024-12-03,75,375340345.0,1465.2053333333333,208,165480.17788461538
2024-12-04,64,279049839.0,1553.3484375,167,206439.34131736527
2024-12-05,49,250297961.0,1409.4877551020406,180,204444.22777777776
2024-12-06,25,89876154.0,1410.388,66,166521.19696969696
2024-12-07,32,177754362.0,1656.875,90,201660.3111111111
2024-12-08,79,348491245.0,1545.5379746835442,182,177277.7142857143
2024-12-09,67,293302153.0,1548.3910447761193,178,178009.94382022473
2024-12-10,80,374420052.0,1605.92625,160,181892.63125
2024-12-11,67,288600281.0,1529.4910447761192,173,176324.64739884392
2024-12-12,68,293610396.0,1616.6132352941177,160,178050.70625
2024-12-13,26,70178377.0,1389.996153846154,69,215332.66666666666
2024-12-14,33,117495499.0,1378.2484848484848,89,183663.14606741574
2024-12-15,71,339027778.0,1554.0436619718312,170,194436.2588235294
2024-12-16,73,345020934.0,1452.5013698630137,175,200101.13142857142
2024-12-17,76,267365005.0,1558.8605263157895,185,199545.1783783784
2024-12-18,60,296467729.0,1544.3983333333333,178,185118.9775280899
2024-12-19,75,360926259.0,1594.0213333333334,191,199335.67015706806
2024-12-20,36,156862881.0,1500.7333333333333,64,163827.65625
2024-12-21,31,135017486.0,1571.9709677419355,99,189736.0
2024-12-22,67,280250597.0,1512.413432835821,183,184767.06010928962
2024-12-23,59,186687216.0,1436.757627118644,188,194249.54787234042
2024-12-24,81,510658722.0,1671.6506172839509,183,193910.92349726777
2024-12-25,72,317805875.0,1443.8833333333334,188,201344.8510638298
2024-12-26,69,306990173.0,1509.955072463768,172,182316.01744186046
2024-12-27,35,181527660.0,1669.7085714285715,67,209808.6567164179
2024-12-28,34,119445348.0,1410.9058823529413,88,198284.0340909091
2024-12-29,69,354455202.0,1559.1666666666667,194,196030.6649484536
2024-12-30,69,304379644.0,1538.1,157,168973.6305732484
2024-12-31,71,282808832.0,1518.2732394366196,178,205283.68539325843
2025-01-01,72,274203647.0,1417.1402777777778,176,179673.82386363635
2025-01-02,76,381551052.0,1504.7315789473685,192,190045.03125
2025-01-03,24,163959938.0,1732.7333333333333,58,203297.89655172414
2025-01-04,28,120594511.0,1422.4785714285715,69,176278.14492753622
2025-01-05,64,346919890.0,1558.2921875,198,204540.46464646465
2025-01-06,71,292550475.0,1430.6549295774648,175,193854.38285714286
2025-01-07,83,410787552.0,1463.075903614458,195,190821.87179487178
2025-01-08,75,418585293.0,1405.1413333333335,182,195403.8021978022
2025-01-09,58,271141380.0,1426.1258620689655,206,197921.5145631068
2025-01-10,29,110108875.0,1468.5206896551724,71,202032.98591549296
2025-01-11,25,95290144.0,1673.9560000000001,76,194960.75
2025-01-12,67,378021120.0,1759.2402985074627,202,197978.0
2025-01-13,88,424342378.0,1598.3261363636366,189,214587.29100529102
2025-01-14,73,350144528.0,1548.5849315068492,189,199861.80952380953
2025-01-15,81,367772609.0,1535.8333333333333,184,180731.7989130435
2025-01-16,69,264620826.0,1398.9840579710144,191,204478.04712041884
2025-01-17,29,164933591.0,1664.8,63,224177.2857142857
2025-01-18,24,132923288.0,1533.6333333333332,79,229799.46835443037
2025-01-19,62,235349640.0,1523.6774193548388,190,181301.17894736843
2025-01-20,76,363598597.0,1483.2236842105262,170,194404.95294117648
2025-01-21,65,398142621.0,1663.3907692307691,210,198861.99047619046
2025-01-22,70,316857909.0,1535.2514285714287,217,205666.69585253455
2025-01-23,77,298265714.0,1468.448051948052,176,184330.50568181818
2025-01-24,28,146781419.0,1797.332142857143,67,227627.1343283582
2025-01-25,35,159144310.0,1546.5,78,184069.61538461538
2025-01-26,73,277579819.0,1510.5205479452054,177,187483.98305084746
2025-01-27,92,434478372.0,1688.4576086956522,186,181325.4193548387
2025-01-28,77,318076619.0,1392.8974025974026,182,201515.0934065934
2025-01-29,70,294914729.0,1499.662857142857,182,205444.05494505496
2025-01-30,71,291133440.0,1605.6845070422537,199,200643.5929648241
2025-01-31,26,96890309.0,1460.7884615384614,75,190008.2
2025-02-01,31,97450943.0,1300.7806451612903,87,213390.091954023
2025-02-02,56,288953383.0,1795.1946428571428,158,202165.3417721519
2025-02-03,64,289888520.0,1422.340625,186,187551.83870967742
2025-02-04,84,343027895.0,1445.022619047619,194,201154.07731958764
2025-02-05,88,405779960.0,1580.078409090909,174,231548.06896551725
2025-02-06,65,245463952.0,1493.3846153846155,199,180308.1608040201
2025-02-07,22,100368985.0,1552.4818181818182,63,189474.88888888888
2025-02-08,41,135177410.0,1543.2219512195122,71,197875.94366197183
2025-02-09,78,351341209.0,1373.6858974358975,179,214860.687150838
