contract_id,contract_date,contract_status,area_name,property_type,rooms,size_sqft,annual_rent_aed,contract_duration_months,tenant_type
RN5000000,2024-09-06,Renewal,Dubai Marina,Apartment,1.0,1944.5,229443.0,12,Individual
RN5000001,2024-09-06,Renewal,Deira,Apartment,1.0,1714.2,92266.0,36,Individual
RN5000002,2024-09-06,Renewal,Business Bay,Villa,3.0,3011.5,323542.0,12,Individual
RN5000003,2024-09-06,Renewal,Business Bay,Villa,2.0,5246.9,627592.0,36,Company
RN5000004,2024-09-06,Renewal,Deira,Apartment,2.0,709.4,44621.0,12,Individual
RN5000005,2024-09-06,Renewal,Downtown Dubai,Apartment,1.0,2099.8,291547.0,12,Individual
RN5000006,2024-09-06,Renewal,Mirdif,Villa,4.0,2766.2,170809.0,12,Individual
RN5000007,2024-09-06,New,Dubai Hills Estate,Apartment,1.0,720.4,71154.0,12,Individual
RN5000008,2024-09-06,New,Business Bay,Apartment,1.0,1014.8,104195.0,12,Individual
RN5000009,2024-09-06,Renewal,Dubai Silicon Oasis,Office,,3267.8,211865.0,12,Individual
RN5000010,2024-09-06,New,Business Bay,Office,,1884.3,227796.0,36,Individual
RN5000011,2024-09-06,New,Mirdif,Office,,2109.6,131153.0,12,Individual
RN5000012,2024-09-06,Renewal,Al Barsha,Apartment,2.0,699.7,52780.0,12,Individual
RN5000013,2024-09-06,New,Palm Jumeirah,Townhouse,1.0,3477.4,585225.0,12,Individual
RN5000014,2024-09-06,Renewal,Palm Jumeirah,Villa,1.0,2856.2,472985.0,12,Individual
RN5000015,2024-09-06,Renewal,DIFC,Villa,0.0,3126.8,475009.0,12,Individual
RN5000016,2024-09-06,Renewal,Al Barsha,Villa,2.0,2578.0,191706.0,12,Individual
RN5000017,2024-09-06,New,Dubai Hills Estate,Apartment,2.0,2011.0,203547.0,12,Individual
RN5000018,2024-09-06,Renewal,Arabian Ranches,Apartment,4.0,1262.1,93818.0,12,Individual
RN5000019,2024-09-06,Renewal,Dubai Hills Estate,Townhouse,0.0,2873.5,306990.0,12,Company
RN5000020,2024-09-06,Renewal,Jumeirah Lake Towers,Apartment,1.0,1069.6,114708.0,12,Individual
RN5000021,2024-09-06,Renewal,Dubai Silicon Oasis,Apartment,3.0,1471.3,88378.0,12,Individual
RN5000022,2024-09-06,New,Al Furjan,Apartment,0.0,484.7,31950.0,12,Company
RN5000023,2024-09-06,New,Dubai Marina,Apartment,0.0,2059.0,228241.0,12,Individual
RN5000024,2024-09-06,Renewal,Al Furjan,Office,,4219.6,268229.0,12,Individual
RN5000025,2024-09-06,Renewal,Dubai Marina,Apartment,3.0,720.3,96634.0,12,Individual
RN5000026,2024-09-06,Renewal,Al Furjan,Villa,1.0,3041.9,250673.0,12,Individual
RN5000027,2024-09-06,New,Dubai Silicon Oasis,Office,,4254.9,283446.0,12,Company
RN5000028,2024-09-06,Renewal,Deira,Townhouse,0.0,2085.7,122509.0,12,Individual
RN5000029,2024-09-06,New,Dubai Silicon Oasis,Apartment,3.0,1277.2,81552.0,12,Individual
RN5000030,2024-09-06,Renewal,Deira,Apartment,2.0,1766.0,102516.0,12,Individual
RN5000031,2024-09-06,New,Dubai Hills Estate,Villa,0.0,2793.3,344634.0,12,Individual
RN5000032,2024-09-06,New,Jumeirah Village Circle,Apartment,2.0,699.9,50165.0,12,Company
RN5000033,2024-09-06,New,Arabian Ranches,Apartment,3.0,1674.7,156168.0,12,Individual
RN5000034,2024-09-06,New,Palm Jumeirah,Apartment,2.0,1004.9,185998.0,12,Individual
RN5000035,2024-09-06,New,Palm Jumeirah,Apartment,2.0,478.3,82853.0,12,Individual
RN5000036,2024-09-06,Renewal,Dubai Silicon Oasis,Office,,3192.1,181495.0,12,Company
RN5000037,2024-09-06,New,Downtown Dubai,Apartment,2.0,1226.9,144689.0,12,Individual
RN5000038,2024-09-06,Renewal,Jumeirah Lake Towers,Office,,807.8,68119.0,12,Individual
RN5000039,2024-09-06,New,Business Bay,Office,,1785.6,156487.0,12,Individual
RN5000040,2024-09-06,New,Dubai Marina,Apartment,3.0,1308.6,160683.0,12,Individual
RN5000041,2024-09-06,Renewal,Deira,Villa,0.0,3686.8,206254.0,24,Individual
RN5000042,2024-09-06,Renewal,DIFC,Apartment,2.0,1843.2,310417.0,12,Individual
RN5000043,2024-09-06,New,Al Furjan,Villa,1.0,4100.0,318546.0,12,Individual
RN5000044,2024-09-06,Renewal,Business Bay,Apartment,1.0,533.9,53694.0,12,Individual
RN5000045,2024-09-06,Renewal,Dubai Marina,Apartment,3.0,647.5,74519.0,24,Individual
RN5000046,2024-09-06,Renewal,Deira,Apartment,2.0,1625.1,92108.0,12,Individual
RN5000047,2024-09-06,Renewal,Arabian Ranches,Apartment,1.0,1208.7,114651.0,12,Individual
RN5000048,2024-09-06,Renewal,Dubai Sports City,Villa,4.0,4605.7,305268.0,12,Individual
RN5000049,2024-09-06,Renewal,Arabian Ranches,Apartment,3.0,554.7,52464.0,12,Company
RN5000050,2024-09-06,Renewal,Dubai Silicon Oasis,Apartment,0.0,888.5,49117.0,24,Company
RN5000051,2024-09-06,New,Dubai Marina,Apartment,1.0,1146.5,131412.0,12,Company
RN5000052,2024-09-06,Renewal,Jumeirah Village Circle,Apartment,0.0,1703.5,114684.0,12,Individual
RN5000053,2024-09-06,New,Arabian Ranches,Villa,1.0,3465.0,339395.0,12,Individual
RN5000054,2024-09-07,Renewal,Al Furjan,Apartment,1.0,861.9,54381.0,12,Company
