transaction_id,transaction_date,procedure_type,registration_type,area_name,property_type,rooms,size_sqft,price_per_sqft_aed,transaction_value_aed,developer_name
TX1000000,2024-09-06,Gift,Existing Property,Arabian Ranches,Villa,3.0,6120.7,1422.2,8704845.0,
TX1000001,2024-09-06,Sale,Existing Property,Al Furjan,Office,,2269.4,1150.2,2610343.0,
TX1000002,2024-09-06,Sale,Off-Plan Property,Dubai Marina,Apartment,3.0,742.2,1554.0,1153401.0,Dubai Properties
TX1000003,2024-09-06,Sale,Off-Plan Property,Dubai Silicon Oasis,Apartment,1.0,1258.3,788.8,992570.0,Binghatti Developers
TX1000004,2024-09-06,Sale,Off-Plan Property,Palm Jumeirah,Apartment,1.0,1668.6,3223.3,5378207.0,Nakheel
TX1000005,2024-09-06,Sale,Off-Plan Property,Dubai Marina,Apartment,1.0,1553.0,1250.0,1941288.0,Nakheel
TX1000006,2024-09-06,Sale,Existing Property,Al Barsha,Office,,4824.7,1196.0,5770251.0,
TX1000007,2024-09-06,Sale,Off-Plan Property,Mirdif,Villa,3.0,7048.1,895.6,6312533.0,Binghatti Developers
TX1000008,2024-09-06,Sale,Existing Property,Jumeirah Lake Towers,Townhouse,1.0,3735.6,1331.9,4975633.0,
TX1000009,2024-09-06,Sale,Existing Property,Jumeirah Lake Towers,Apartment,2.0,618.7,1439.0,890270.0,
TX1000010,2024-09-06,Mortgage,Off-Plan Property,Dubai Silicon Oasis,Land,,4630.7,865.3,4007097.0,Nakheel
TX1000011,2024-09-06,Sale,Existing Property,Jumeirah Lake Towers,Office,,1213.2,1239.7,1503960.0,
TX1000012,2024-09-06,Sale,Off-Plan Property,Al Barsha,Townhouse,2.0,3848.0,986.9,3797669.0,Emaar Properties
TX1000013,2024-09-06,Mortgage,Off-Plan Property,Dubai Marina,Apartment,2.0,1472.2,1581.0,2327563.0,Ellington Properties
TX1000014,2024-09-06,Mortgage,Off-Plan Property,Al Furjan,Apartment,1.0,522.8,1115.7,583298.0,Nakheel
TX1000015,2024-09-06,Sale,Off-Plan Property,Arabian Ranches,Apartment,4.0,631.0,1075.9,678841.0,Binghatti Developers
TX1000016,2024-09-06,Sale,Off-Plan Property,Al Barsha,Apartment,0.0,1466.9,919.1,1348201.0,Nakheel
TX1000017,2024-09-06,Sale,Existing Property,Dubai Hills Estate,Villa,3.0,8730.6,1492.8,13033283.0,
TX1000018,2024-09-06,Sale,Existing Property,Business Bay,Townhouse,2.0,2023.4,2015.3,4077740.0,
TX1000019,2024-09-07,Mortgage,Existing Property,Deira,Townhouse,1.0,2194.7,982.5,2156241.0,
TX1000020,2024-09-07,Sale,Off-Plan Property,Al Barsha,Apartment,1.0,701.8,1080.4,758217.0,Danube Properties
TX1000021,2024-09-07,Mortgage,Existing Property,Al Furjan,Office,,1106.6,949.0,1050182.0,
TX1000022,2024-09-07,Sale,Existing Property,Jumeirah Village Circle,Apartment,1.0,487.0,1022.3,497862.0,
TX1000023,2024-09-07,Sale,Existing Property,Mirdif,Apartment,3.0,543.4,990.6,538291.0,
TX1000024,2024-09-07,Mortgage,Off-Plan Property,Jumeirah Village Circle,Apartment,4.0,1138.9,995.4,1133653.0,Damac Properties
TX1000025,2024-09-07,Sale,Off-Plan Property,Deira,Apartment,1.0,1939.5,763.9,1481565.0,Sobha Realty
TX1000026,2024-09-07,Sale,Existing Property,Al Barsha,Office,,1547.2,1331.3,2059716.0,
TX1000027,2024-09-07,Sale,Off-Plan Property,Al Furjan,Townhouse,2.0,2923.9,913.2,2670208.0,Dubai Properties
